;Man;Man;Man;Man;Man;Woman;Woman;Woman;Woman;Woman
;S;M;L;XL;XXL;XS;S;M;L;XL
Body Height min;174;175;176;177;178;164;166;168;170;172
Body Height max;178;180;182;183;186;170;172;174;176;178
Chest min;92;96;100;104;108;82;86;90;96;102
Chest max;95;99;104;107;112;86;90;94;100;106
Waist min;74;80;86;92;98;60;66;70;74;78
Waist max;78;84;90;96;102;66;70;74;78;82
Hips min;90;96;101;105;108;84;90;94;100;100
Hips max;94;100;104;107;111;88;94;98;104;108
Inseam min;78;80;82;83;84;78;79;80;81;82
Inseam max;80;82;84;85;86;79;80;81;82;83
Weight min;57;68;83;95;194;50;54;57;59;66
Weight max;66;79;98;107;116;61;66;66;70;75
